Week,30 yr FRM,Year
5/15/1987,10.48,1987
5/22/1987,10.81,1987
5/29/1987,10.70,1987
6/5/1987,10.70,1987
6/12/1987,10.66,1987
6/19/1987,10.44,1987
6/26/1987,10.35,1987
7/3/1987,10.36,1987
7/10/1987,10.30,1987
7/17/1987,10.23,1987
7/24/1987,10.23,1987
7/31/1987,10.27,1987
8/7/1987,10.35,1987
8/14/1987,10.34,1987
8/21/1987,10.30,1987
8/28/1987,10.33,1987
9/4/1987,10.63,1987
9/11/1987,10.91,1987
9/18/1987,10.99,1987
9/25/1987,11.02,1987
10/2/1987,11.18,1987
10/9/1987,11.21,1987
10/16/1987,11.58,1987
10/23/1987,11.36,1987
10/30/1987,10.97,1987
11/6/1987,10.79,1987
11/13/1987,10.66,1987
11/20/1987,10.60,1987
11/27/1987,10.55,1987
12/4/1987,10.60,1987
12/11/1987,10.66,1987
12/18/1987,10.69,1987
12/25/1987,10.64,1987
12/31/1987,10.61,1987
1/8/1988,10.50,1988
1/15/1988,10.53,1988
1/22/1988,10.34,1988
1/29/1988,10.16,1988
2/5/1988,9.94,1988
2/12/1988,9.84,1988
2/19/1988,9.92,1988
2/26/1988,9.87,1988
3/4/1988,9.85,1988
3/11/1988,9.96,1988
3/18/1988,9.92,1988
3/25/1988,9.99,1988
4/1/1988,10.05,1988
4/8/1988,10.19,1988
4/15/1988,10.19,1988
4/22/1988,10.30,1988
4/29/1988,10.28,1988
5/6/1988,10.32,1988
5/13/1988,10.40,1988
5/20/1988,10.52,1988
5/27/1988,10.58,1988
6/3/1988,10.58,1988
6/10/1988,10.51,1988
6/17/1988,10.35,1988
6/24/1988,10.40,1988
7/1/1988,10.39,1988
7/8/1988,10.38,1988
7/15/1988,10.44,1988
7/22/1988,10.46,1988
7/29/1988,10.49,1988
8/5/1988,10.44,1988
8/12/1988,10.57,1988
8/19/1988,10.71,1988
8/26/1988,10.67,1988
9/2/1988,10.65,1988
9/9/1988,10.53,1988
9/16/1988,10.40,1988
9/23/1988,10.40,1988
9/30/1988,10.42,1988
10/7/1988,10.38,1988
10/14/1988,10.33,1988
10/21/1988,10.28,1988
10/28/1988,10.22,1988
11/4/1988,10.12,1988
11/11/1988,10.24,1988
11/18/1988,10.31,1988
11/25/1988,10.39,1988
12/2/1988,10.44,1988
12/9/1988,10.46,1988
12/16/1988,10.71,1988
12/23/1988,10.68,1988
12/30/1988,10.77,1988
1/6/1989,10.80,1989
1/13/1989,10.81,1989
1/20/1989,10.71,1989
1/27/1989,10.60,1989
2/3/1989,10.55,1989
2/10/1989,10.56,1989
2/17/1989,10.69,1989
2/24/1989,10.78,1989
3/3/1989,10.91,1989
3/10/1989,10.86,1989
3/17/1989,10.98,1989
3/24/1989,11.22,1989
3/31/1989,11.19,1989
4/7/1989,11.07,1989
4/14/1989,11.11,1989
4/21/1989,10.99,1989
4/28/1989,11.03,1989
5/5/1989,10.97,1989
5/12/1989,10.93,1989
5/19/1989,10.69,1989
5/26/1989,10.50,1989
6/2/1989,10.48,1989
6/9/1989,10.20,1989
6/16/1989,10.04,1989
6/23/1989,10.19,1989
6/30/1989,10.07,1989
7/7/1989,10.03,1989
7/14/1989,9.82,1989
7/21/1989,9.87,1989
7/28/1989,9.81,1989
8/4/1989,9.68,1989
8/11/1989,9.96,1989
8/18/1989,10.09,1989
8/25/1989,10.21,1989
9/1/1989,10.22,1989
9/8/1989,10.17,1989
9/15/1989,10.05,1989
9/22/1989,10.03,1989
9/29/1989,10.16,1989
10/6/1989,10.10,1989
10/13/1989,9.95,1989
10/20/1989,9.92,1989
10/27/1989,9.82,1989
11/3/1989,9.82,1989
11/10/1989,9.79,1989
11/17/1989,9.72,1989
11/24/1989,9.74,1989
12/1/1989,9.74,1989
12/8/1989,9.76,1989
12/15/1989,9.75,1989
12/22/1989,9.69,1989
12/29/1989,9.78,1989
1/5/1990,9.83,1990
1/12/1990,9.80,1990
1/19/1990,9.90,1990
1/26/1990,10.05,1990
2/2/1990,10.17,1990
2/9/1990,10.21,1990
2/16/1990,10.10,1990
2/23/1990,10.31,1990
3/2/1990,10.23,1990
3/9/1990,10.29,1990
3/16/1990,10.34,1990
3/23/1990,10.26,1990
